case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,page_stratum,dimension,profile,selection_mode,manifest_path
11,1,11,ADV-0112,Death at Sunset,Dragon Delves,Wizards of the Coast,12,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0112-v1.yml
12,1,12,ADV-0278,Witchlight Carnival,The Wild Beyond the Witchlight,Wizards of the Coast,33,31-60-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0278-v1.yml
13,1,13,ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0199-v1.yml
14,1,14,ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,3-10-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0274-v1.yml
15,1,15,ADV-0194,Heart of Ashes,Keys from the Golden Vault,Wizards of the Coast,12,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0194-v1.yml
16,1,16,ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0311-v1.yml
17,1,17,ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,3-10-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0070-v1.yml
18,1,18,ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0314-v1.yml
19,1,19,ADV-0123,Robber Baron,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0123-v1.yml
20,1,20,ADV-0089,Presto Change-o,The Game Master's Book of Random Encounters,Topix Media Lab,12,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0089-v1.yml
21,1,21,ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0283-v1.yml
22,1,22,ADV-0327,Wyllowwood,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0327-v1.yml
23,1,23,ADV-0124,The Siege of Shalespire Priory,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0124-v1.yml
24,1,24,ADV-0231,Isle of the Abbey,Ghosts of Saltmarsh,Wizards of the Coast,13,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0231-v1.yml
25,1,25,ADV-0125,The Weeping Goddess,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0125-v1.yml
26,1,26,ADV-0021,"Baldur's Gate, Southwest District",Heroes of Baldur's Gate,Arcanum Worlds,13,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0021-v1.yml
27,1,27,ADV-0126,Fury Grove,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0126-v1.yml
28,1,28,ADV-0088,Eve of Ruin,Vecna: Eve of Ruin,Wizards of the Coast,13,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0088-v1.yml
29,1,29,ADV-0249,The Flying Citadel,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,14,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0249-v1.yml
30,1,30,ADV-0046,Into Dreamland,Labyrinth Adventures,Kobold Press,14,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0046-v1.yml
31,1,31,ADV-0009,Kings of Little Kingdoms,Tales From Eriador,Free League Publishing,14,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0009-v1.yml
32,1,32,ADV-0031,White Plume Mountain,Tales from the Yawning Portal,Wizards of the Coast,14,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0031-v1.yml
33,1,33,ADV-0018,Hold My Beer,The Game Master's Book of Legendary Dragons,Media Lab Books,14,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0018-v1.yml
34,1,34,ADV-0289,Fireball,Waterdeep: Dragon Heist,Wizards of the Coast,14,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0289-v1.yml
35,1,35,ADV-0171,The Lost Library of Lethchauntos,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,15,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0171-v1.yml
36,1,36,ADV-0223,Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,15,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0223-v1.yml
37,1,37,ADV-0074,Amber Temple,Curse of Strahd,Wizards of the Coast,16,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0074-v1.yml
38,1,38,ADV-0002,The Sea-prince of the Shore,Trials of Saruman,Free League Publishing,16,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0002-v1.yml
39,1,39,ADV-0282,Loomlurch,The Wild Beyond the Witchlight,Wizards of the Coast,18,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0282-v1.yml
40,1,40,ADV-0061,Enter Drakenberg Castle,Rise of the Ice Dragons Trilogy,Midnight Tower,23,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0061-v1.yml
