case_index,adventure_order,adventure_id,adventure_title,page_count,dimension,catalog_columns,manifest_origin,source_queue,status_at_prepare,manifest_path
15,6,ADV-0032,Dead in Thay,56,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0032-v1.yml
16,6,ADV-0032,Dead in Thay,56,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0032-v1.yml
17,7,ADV-0031,White Plume Mountain,14,Levels,Level Start + Level End,synthesized_from_frozen_template,production-backlog-009,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-qwen-levels-adv0031-v1.yml
18,7,ADV-0031,White Plume Mountain,14,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0031-v1.yml
19,7,ADV-0031,White Plume Mountain,14,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0031-v1.yml
20,7,ADV-0031,White Plume Mountain,14,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0031-v1.yml
21,7,ADV-0031,White Plume Mountain,14,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0031-v1.yml
22,8,ADV-0065,Heart of Darkness,48,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0065-v1.yml
23,8,ADV-0065,Heart of Darkness,48,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0065-v1.yml
24,8,ADV-0065,Heart of Darkness,48,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0065-v1.yml
25,8,ADV-0065,Heart of Darkness,48,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0065-v1.yml
26,9,ADV-0088,Eve of Ruin,13,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0088-v1.yml
27,9,ADV-0088,Eve of Ruin,13,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0088-v1.yml
28,9,ADV-0088,Eve of Ruin,13,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0088-v1.yml
29,9,ADV-0088,Eve of Ruin,13,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0088-v1.yml
30,10,ADV-0249,The Flying Citadel,14,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0249-v1.yml
31,10,ADV-0249,The Flying Citadel,14,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0249-v1.yml
32,10,ADV-0249,The Flying Citadel,14,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0249-v1.yml
33,10,ADV-0249,The Flying Citadel,14,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0249-v1.yml
34,11,ADV-0274,Feeder Trenches,3,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0274-v1.yml
35,11,ADV-0274,Feeder Trenches,3,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0274-v1.yml
36,11,ADV-0274,Feeder Trenches,3,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0274-v1.yml
37,11,ADV-0274,Feeder Trenches,3,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0274-v1.yml
38,12,ADV-0057,Find the Lost Expedition,40,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0057-v1.yml
39,12,ADV-0057,Find the Lost Expedition,40,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0057-v1.yml
40,12,ADV-0057,Find the Lost Expedition,40,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0057-v1.yml
41,12,ADV-0057,Find the Lost Expedition,40,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0057-v1.yml
42,13,ADV-0069,Castle Ravenloft,40,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0069-v1.yml
43,13,ADV-0069,Castle Ravenloft,40,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0069-v1.yml
44,13,ADV-0069,Castle Ravenloft,40,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0069-v1.yml
45,13,ADV-0069,Castle Ravenloft,40,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0069-v1.yml
46,14,ADV-0114,The Will of Orcus,12,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0114-v1.yml
47,14,ADV-0114,The Will of Orcus,12,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0114-v1.yml
48,14,ADV-0114,The Will of Orcus,12,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0114-v1.yml
49,14,ADV-0114,The Will of Orcus,12,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0114-v1.yml
50,15,ADV-0244,Camp Carrionclay,2,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0244-v1.yml
51,15,ADV-0244,Camp Carrionclay,2,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0244-v1.yml
52,15,ADV-0244,Camp Carrionclay,2,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0244-v1.yml
53,15,ADV-0244,Camp Carrionclay,2,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0244-v1.yml
54,16,ADV-0240,Blue Phoenix Shrine,4,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0240-v1.yml
55,16,ADV-0240,Blue Phoenix Shrine,4,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0240-v1.yml
56,16,ADV-0240,Blue Phoenix Shrine,4,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0240-v1.yml
57,16,ADV-0240,Blue Phoenix Shrine,4,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0240-v1.yml
58,17,ADV-0128,Disinterred Danger,1,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0128-v1.yml
59,17,ADV-0128,Disinterred Danger,1,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0128-v1.yml
60,17,ADV-0128,Disinterred Danger,1,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0128-v1.yml
61,17,ADV-0128,Disinterred Danger,1,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0128-v1.yml
62,18,ADV-0129,The Drowning Forest,1,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0129-v1.yml
63,18,ADV-0129,The Drowning Forest,1,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0129-v1.yml
64,18,ADV-0129,The Drowning Forest,1,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0129-v1.yml
65,18,ADV-0129,The Drowning Forest,1,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0129-v1.yml
66,19,ADV-0130,The Lost Dawn,1,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0130-v1.yml
67,19,ADV-0130,The Lost Dawn,1,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0130-v1.yml
68,19,ADV-0130,The Lost Dawn,1,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0130-v1.yml
69,19,ADV-0130,The Lost Dawn,1,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0130-v1.yml
70,20,ADV-0231,Isle of the Abbey,13,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0231-v1.yml
71,20,ADV-0231,Isle of the Abbey,13,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0231-v1.yml
72,20,ADV-0231,Isle of the Abbey,13,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0231-v1.yml
73,20,ADV-0231,Isle of the Abbey,13,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0231-v1.yml
74,21,ADV-0023,Cloakwood Forest,5,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0023-v1.yml
75,21,ADV-0023,Cloakwood Forest,5,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0023-v1.yml
76,21,ADV-0023,Cloakwood Forest,5,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0023-v1.yml
77,21,ADV-0023,Cloakwood Forest,5,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0023-v1.yml
78,22,ADV-0021,"Baldur's Gate, Southwest District",13,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0021-v1.yml
79,22,ADV-0021,"Baldur's Gate, Southwest District",13,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0021-v1.yml
80,22,ADV-0021,"Baldur's Gate, Southwest District",13,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0021-v1.yml
81,22,ADV-0021,"Baldur's Gate, Southwest District",13,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0021-v1.yml
82,23,ADV-0054,Deeper into the Woods,38,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0054-v1.yml
83,23,ADV-0054,Deeper into the Woods,38,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0054-v1.yml
84,23,ADV-0054,Deeper into the Woods,38,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0054-v1.yml
85,23,ADV-0054,Deeper into the Woods,38,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0054-v1.yml
86,24,ADV-0210,Angajuk's Bell,3,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0210-v1.yml
87,24,ADV-0210,Angajuk's Bell,3,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0210-v1.yml
88,24,ADV-0210,Angajuk's Bell,3,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0210-v1.yml
89,24,ADV-0210,Angajuk's Bell,3,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0210-v1.yml
90,25,ADV-0177,Gold for Fools and Princes,11,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0177-v1.yml
91,25,ADV-0177,Gold for Fools and Princes,11,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0177-v1.yml
92,25,ADV-0177,Gold for Fools and Princes,11,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0177-v1.yml
93,25,ADV-0177,Gold for Fools and Princes,11,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0177-v1.yml
94,26,ADV-0271,Crypt of the Talhund,11,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0271-v1.yml
95,26,ADV-0271,Crypt of the Talhund,11,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0271-v1.yml
96,26,ADV-0271,Crypt of the Talhund,11,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0271-v1.yml
97,26,ADV-0271,Crypt of the Talhund,11,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0271-v1.yml
98,27,ADV-0311,Quest for the Giant Relics,2,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0311-v1.yml
99,27,ADV-0311,Quest for the Giant Relics,2,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0311-v1.yml
100,27,ADV-0311,Quest for the Giant Relics,2,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0311-v1.yml
101,27,ADV-0311,Quest for the Giant Relics,2,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0311-v1.yml
102,28,ADV-0319,The Grand Dame,4,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0319-v1.yml
103,28,ADV-0319,The Grand Dame,4,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0319-v1.yml
104,28,ADV-0319,The Grand Dame,4,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0319-v1.yml
105,28,ADV-0319,The Grand Dame,4,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0319-v1.yml
106,29,ADV-0314,Berg of the Frost Giants,12,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0314-v1.yml
107,29,ADV-0314,Berg of the Frost Giants,12,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0314-v1.yml
108,29,ADV-0314,Berg of the Frost Giants,12,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0314-v1.yml
109,29,ADV-0314,Berg of the Frost Giants,12,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0314-v1.yml
110,30,ADV-0253,Secrets in Sedgemoor,4,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0253-v1.yml
111,30,ADV-0253,Secrets in Sedgemoor,4,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0253-v1.yml
112,30,ADV-0253,Secrets in Sedgemoor,4,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0253-v1.yml
113,30,ADV-0253,Secrets in Sedgemoor,4,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0253-v1.yml
114,31,ADV-0251,Campus Kerfuffle,36,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0251-v1.yml
115,31,ADV-0251,Campus Kerfuffle,36,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0251-v1.yml
116,31,ADV-0251,Campus Kerfuffle,36,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0251-v1.yml
117,31,ADV-0251,Campus Kerfuffle,36,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0251-v1.yml
118,32,ADV-0009,Kings of Little Kingdoms,14,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0009-v1.yml
119,32,ADV-0009,Kings of Little Kingdoms,14,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0009-v1.yml
120,32,ADV-0009,Kings of Little Kingdoms,14,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0009-v1.yml
121,32,ADV-0009,Kings of Little Kingdoms,14,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0009-v1.yml
122,33,ADV-0090,Mother Knows Best,8,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0090-v1.yml
123,33,ADV-0090,Mother Knows Best,8,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0090-v1.yml
124,33,ADV-0090,Mother Knows Best,8,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0090-v1.yml
125,33,ADV-0090,Mother Knows Best,8,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0090-v1.yml
126,34,ADV-0064,The Sunken Temple of Sirenholm,36,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0064-v1.yml
127,34,ADV-0064,The Sunken Temple of Sirenholm,36,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0064-v1.yml
128,34,ADV-0064,The Sunken Temple of Sirenholm,36,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0064-v1.yml
129,34,ADV-0064,The Sunken Temple of Sirenholm,36,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0064-v1.yml
130,35,ADV-0286,Palace of Heart's Desire,37,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0286-v1.yml
131,35,ADV-0286,Palace of Heart's Desire,37,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0286-v1.yml
132,35,ADV-0286,Palace of Heart's Desire,37,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0286-v1.yml
133,35,ADV-0286,Palace of Heart's Desire,37,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0286-v1.yml
134,36,ADV-0330,Slitherswamp,8,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0330-v1.yml
135,36,ADV-0330,Slitherswamp,8,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0330-v1.yml
136,36,ADV-0330,Slitherswamp,8,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0330-v1.yml
137,36,ADV-0330,Slitherswamp,8,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0330-v1.yml
