case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,page_stratum,dimension,profile,selection_mode,manifest_path
116,3,16,ADV-0192,Vidorant's Vault,Keys from the Golden Vault,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0192-v1.yml
117,3,17,ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0269-v1.yml
118,3,18,ADV-0304,A Great Upheaval,Storm King's Thunder,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0304-v1.yml
119,3,19,ADV-0316,Castle of the Cloud Giants,Storm King's Thunder,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0316-v1.yml
120,3,20,ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0323-v1.yml
121,3,21,ADV-0328,Lost Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0328-v1.yml
122,3,22,ADV-0329,Maddgoth's Castle,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0329-v1.yml
123,3,23,ADV-0336,Arcturiadoom,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0336-v1.yml
124,3,24,ADV-0345,Mad Wizard's Lair,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0345-v1.yml
125,3,25,ADV-0174,The Fiend of Hollow Mine,Journeys Through the Radiant Citadel,Wizards of the Coast,15,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0174-v1.yml
126,3,26,ADV-0182,The Nightsea's Succor,Journeys Through the Radiant Citadel,Wizards of the Coast,15,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0182-v1.yml
127,3,27,ADV-0010,Not To Strike Without Need,Tales From Eriador,Free League Publishing,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0010-v1.yml
128,3,28,ADV-0043,Song of the Void,Labyrinth Adventures,Kobold Press,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0043-v1.yml
129,3,29,ADV-0049,In the Court of the Clockwork Queen,Labyrinth Adventures,Kobold Press,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0049-v1.yml
130,3,30,ADV-0081,The Lambent Zenith's Last Voyage,Vecna: Eve of Ruin,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0081-v1.yml
131,3,31,ADV-0087,The War of Pandesmos,Vecna: Eve of Ruin,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0087-v1.yml
132,3,32,ADV-0116,The Dragon of Najkir,Dragon Delves,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0116-v1.yml
133,3,33,ADV-0185,The Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0185-v1.yml
134,3,34,ADV-0188,Prisoner 13,Keys from the Golden Vault,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0188-v1.yml
135,3,35,ADV-0189,Tockworth's Clockworks,Keys from the Golden Vault,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0189-v1.yml
136,3,36,ADV-0190,Masterpiece Imbroglio,Keys from the Golden Vault,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0190-v1.yml
137,3,37,ADV-0191,Axe from the Grave,Keys from the Golden Vault,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0191-v1.yml
138,3,38,ADV-0193,Shard of the Accursed,Keys from the Golden Vault,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0193-v1.yml
139,3,39,ADV-0195,Affair on the Concordant Express,Keys from the Golden Vault,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0195-v1.yml
140,3,40,ADV-0226,Caves of Hunger,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0226-v1.yml
141,3,41,ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0299-v1.yml
142,3,42,ADV-0300,Hell of a Summer,Waterdeep: Dragon Heist,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0300-v1.yml
143,3,43,ADV-0302,Winter Wizardry,Waterdeep: Dragon Heist,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0302-v1.yml
144,3,44,ADV-0310,Eye of the All-Father,Storm King's Thunder,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0310-v1.yml
145,3,45,ADV-0324,Arcane Chambers,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0324-v1.yml
146,3,46,ADV-0325,Sargauth Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0325-v1.yml
147,3,47,ADV-0332,Muiral's Gauntlet,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0332-v1.yml
148,3,48,ADV-0337,Obstacle Course,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0337-v1.yml
149,3,49,ADV-0181,Shadow of the Sun,Journeys Through the Radiant Citadel,Wizards of the Coast,17,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0181-v1.yml
150,3,50,ADV-0184,Orchids of the Invisible Mountain,Journeys Through the Radiant Citadel,Wizards of the Coast,17,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0184-v1.yml
