case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,page_stratum,dimension,profile,selection_mode,manifest_path
39,1,39,ADV-0200,Lake Monster,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0200-v1.yml
40,1,40,ADV-0212,Cackling Chasm,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0212-v1.yml
41,1,41,ADV-0213,Cave of the Berserkers,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0213-v1.yml
42,1,42,ADV-0216,Jarlmoot,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0216-v1.yml
43,1,43,ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0242-v1.yml
44,1,44,ADV-0246,Temple of Paladine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0246-v1.yml
45,1,45,ADV-0275,Labyrinth of Eyes,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0275-v1.yml
46,1,46,ADV-0280,Free Sir Talavar,The Wild Beyond the Witchlight,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0280-v1.yml
47,1,47,ADV-0291,Encounter 2: Mistshore,Waterdeep: Dragon Heist,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0291-v1.yml
48,1,48,ADV-0292,Encounter 4: Mausoleum,Waterdeep: Dragon Heist,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0292-v1.yml
49,1,49,ADV-0293,Encounter 6: Theater,Waterdeep: Dragon Heist,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0293-v1.yml
50,1,50,ADV-0295,Encounter 8: Courthouse,Waterdeep: Dragon Heist,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0295-v1.yml
