matrix_index,run_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,action,existing_score,manifest_path
11,6,ADV-0230,Salvage Operation,Ghosts of Saltmarsh,Wizards of the Coast,9,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0230-v1.yml
12,7,ADV-0230,Salvage Operation,Ghosts of Saltmarsh,Wizards of the Coast,9,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0230-v1.yml
13,8,ADV-0031,White Plume Mountain,Tales from the Yawning Portal,Wizards of the Coast,14,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0031-v1.yml
14,9,ADV-0031,White Plume Mountain,Tales from the Yawning Portal,Wizards of the Coast,14,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0031-v1.yml
15,10,ADV-0031,White Plume Mountain,Tales from the Yawning Portal,Wizards of the Coast,14,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0031-v1.yml
16,11,ADV-0031,White Plume Mountain,Tales from the Yawning Portal,Wizards of the Coast,14,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0031-v1.yml
17,12,ADV-0257,The Magister's Masquerade,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,31,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0257-v1.yml
18,13,ADV-0257,The Magister's Masquerade,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,31,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0257-v1.yml
19,14,ADV-0257,The Magister's Masquerade,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,31,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0257-v1.yml
20,15,ADV-0257,The Magister's Masquerade,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,31,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0257-v1.yml
21,16,ADV-0288,A Friend in Need,Waterdeep: Dragon Heist,Wizards of the Coast,10,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0288-v1.yml
22,,ADV-0288,A Friend in Need,Waterdeep: Dragon Heist,Wizards of the Coast,10,Structural Openness,SKIP_AMC_EXISTING,1,
23,17,ADV-0288,A Friend in Need,Waterdeep: Dragon Heist,Wizards of the Coast,10,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0288-v1.yml
24,18,ADV-0288,A Friend in Need,Waterdeep: Dragon Heist,Wizards of the Coast,10,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0288-v1.yml
25,19,ADV-0092,An Actor's Life,The Game Master's Book of Random Encounters,Topix Media Lab,16,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0092-v1.yml
26,20,ADV-0092,An Actor's Life,The Game Master's Book of Random Encounters,Topix Media Lab,16,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0092-v1.yml
27,21,ADV-0092,An Actor's Life,The Game Master's Book of Random Encounters,Topix Media Lab,16,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0092-v1.yml
28,22,ADV-0092,An Actor's Life,The Game Master's Book of Random Encounters,Topix Media Lab,16,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0092-v1.yml
29,23,ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0232-v1.yml
30,24,ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0232-v1.yml
31,25,ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0232-v1.yml
32,26,ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0232-v1.yml
33,27,ADV-0223,Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,15,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0223-v1.yml
34,28,ADV-0223,Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,15,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0223-v1.yml
35,29,ADV-0223,Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,15,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0223-v1.yml
36,30,ADV-0223,Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,15,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0223-v1.yml
37,31,ADV-0189,Tockworth's Clockworks,Keys from the Golden Vault,Wizards of the Coast,16,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0189-v1.yml
38,32,ADV-0189,Tockworth's Clockworks,Keys from the Golden Vault,Wizards of the Coast,16,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0189-v1.yml
39,33,ADV-0189,Tockworth's Clockworks,Keys from the Golden Vault,Wizards of the Coast,16,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0189-v1.yml
40,34,ADV-0189,Tockworth's Clockworks,Keys from the Golden Vault,Wizards of the Coast,16,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0189-v1.yml
41,35,ADV-0248,Siege of Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,27,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0248-v1.yml
42,36,ADV-0248,Siege of Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,27,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0248-v1.yml
43,37,ADV-0248,Siege of Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,27,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0248-v1.yml
44,38,ADV-0248,Siege of Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,27,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0248-v1.yml
45,39,ADV-0227,Doom of Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,30,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0227-v1.yml
46,40,ADV-0227,Doom of Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,30,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0227-v1.yml
47,41,ADV-0227,Doom of Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,30,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0227-v1.yml
48,42,ADV-0227,Doom of Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,30,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0227-v1.yml
49,43,ADV-0335,Trobriand's Graveyard,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0335-v1.yml
50,44,ADV-0335,Trobriand's Graveyard,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0335-v1.yml
51,45,ADV-0335,Trobriand's Graveyard,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0335-v1.yml
52,46,ADV-0335,Trobriand's Graveyard,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0335-v1.yml
53,47,ADV-0032,Dead in Thay,Tales from the Yawning Portal,Wizards of the Coast,56,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0032-v1.yml
54,48,ADV-0032,Dead in Thay,Tales from the Yawning Portal,Wizards of the Coast,56,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0032-v1.yml
55,49,ADV-0032,Dead in Thay,Tales from the Yawning Portal,Wizards of the Coast,56,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0032-v1.yml
56,50,ADV-0032,Dead in Thay,Tales from the Yawning Portal,Wizards of the Coast,56,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0032-v1.yml
57,51,ADV-0337,Obstacle Course,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0337-v1.yml
58,52,ADV-0337,Obstacle Course,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0337-v1.yml
59,53,ADV-0337,Obstacle Course,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0337-v1.yml
60,54,ADV-0337,Obstacle Course,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0337-v1.yml
61,55,ADV-0345,Mad Wizard's Lair,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0345-v1.yml
62,56,ADV-0345,Mad Wizard's Lair,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0345-v1.yml
63,57,ADV-0345,Mad Wizard's Lair,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0345-v1.yml
64,58,ADV-0345,Mad Wizard's Lair,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0345-v1.yml
65,59,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0234-v1.yml
66,60,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0234-v1.yml
67,61,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0234-v1.yml
68,62,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0234-v1.yml
69,63,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0229-v1.yml
70,64,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0229-v1.yml
71,65,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0229-v1.yml
72,66,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0229-v1.yml
73,67,ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0323-v1.yml
74,,ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Structural Openness,SKIP_AMC_EXISTING,5,
75,68,ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0323-v1.yml
76,69,ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0323-v1.yml
77,70,ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0168-v1.yml
78,71,ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0168-v1.yml
79,72,ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0168-v1.yml
80,73,ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0168-v1.yml
81,74,ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0132-v1.yml
82,75,ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0132-v1.yml
83,76,ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0132-v1.yml
84,77,ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0132-v1.yml
85,78,ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0150-v1.yml
86,79,ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0150-v1.yml
87,80,ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0150-v1.yml
88,81,ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0150-v1.yml
89,82,ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0135-v1.yml
90,83,ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0135-v1.yml
91,84,ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0135-v1.yml
92,85,ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0135-v1.yml
93,86,ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0162-v1.yml
94,87,ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0162-v1.yml
95,88,ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0162-v1.yml
96,89,ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0162-v1.yml
97,90,ADV-0169,Clockwork Memories,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0169-v1.yml
98,91,ADV-0169,Clockwork Memories,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0169-v1.yml
99,92,ADV-0169,Clockwork Memories,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0169-v1.yml
100,93,ADV-0169,Clockwork Memories,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0169-v1.yml
101,94,ADV-0170,The Shadow Parliament,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0170-v1.yml
102,95,ADV-0170,The Shadow Parliament,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0170-v1.yml
103,96,ADV-0170,The Shadow Parliament,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0170-v1.yml
104,97,ADV-0170,The Shadow Parliament,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0170-v1.yml
105,98,ADV-0198,Cold-Hearted Killer,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0198-v1.yml
106,99,ADV-0198,Cold-Hearted Killer,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0198-v1.yml
107,100,ADV-0198,Cold-Hearted Killer,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0198-v1.yml
108,101,ADV-0198,Cold-Hearted Killer,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0198-v1.yml
109,102,ADV-0013,A Conspiracy Most Cracked,Shire Adventures,Free League Publishing,7,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0013-v1.yml
110,103,ADV-0013,A Conspiracy Most Cracked,Shire Adventures,Free League Publishing,7,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0013-v1.yml
111,104,ADV-0013,A Conspiracy Most Cracked,Shire Adventures,Free League Publishing,7,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0013-v1.yml
112,105,ADV-0013,A Conspiracy Most Cracked,Shire Adventures,Free League Publishing,7,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0013-v1.yml
113,106,ADV-0185,The Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast,16,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0185-v1.yml
114,107,ADV-0185,The Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast,16,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0185-v1.yml
115,108,ADV-0185,The Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast,16,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0185-v1.yml
116,109,ADV-0185,The Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast,16,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0185-v1.yml
117,110,ADV-0195,Affair on the Concordant Express,Keys from the Golden Vault,Wizards of the Coast,16,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0195-v1.yml
118,111,ADV-0195,Affair on the Concordant Express,Keys from the Golden Vault,Wizards of the Coast,16,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0195-v1.yml
119,112,ADV-0195,Affair on the Concordant Express,Keys from the Golden Vault,Wizards of the Coast,16,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0195-v1.yml
120,113,ADV-0195,Affair on the Concordant Express,Keys from the Golden Vault,Wizards of the Coast,16,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0195-v1.yml
121,114,ADV-0046,Into Dreamland,Labyrinth Adventures,Kobold Press,14,Combat Emphasis,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-combat-adv0046-v1.yml
122,115,ADV-0046,Into Dreamland,Labyrinth Adventures,Kobold Press,14,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0046-v1.yml
123,116,ADV-0046,Into Dreamland,Labyrinth Adventures,Kobold Press,14,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0046-v1.yml
124,117,ADV-0046,Into Dreamland,Labyrinth Adventures,Kobold Press,14,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0046-v1.yml
125,,ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,Combat Emphasis,SKIP_AMC_EXISTING,5,
126,118,ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0033-v1.yml
127,119,ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0033-v1.yml
128,120,ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0033-v1.yml
129,,ADV-0020,Hell Hath Fury,The Game Master's Book of Legendary Dragons,Media Lab Books,10,Combat Emphasis,SKIP_AMC_EXISTING,3,
130,121,ADV-0020,Hell Hath Fury,The Game Master's Book of Legendary Dragons,Media Lab Books,10,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0020-v1.yml
131,122,ADV-0020,Hell Hath Fury,The Game Master's Book of Legendary Dragons,Media Lab Books,10,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0020-v1.yml
132,123,ADV-0020,Hell Hath Fury,The Game Master's Book of Legendary Dragons,Media Lab Books,10,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0020-v1.yml
